text,label
I am running late for meeting,ham
He runs daily for fitness,ham
She was running in the park,ham
They run every morning,ham
Running runners love running,ham
We are studying for exams,ham
He studies every night,ham
She was studying hard,ham
They study together,ham
Students love studying,ham
I am working from home,ham
He works in office,ham
She worked yesterday,ham
They are working now,ham
Working workers work well,ham
I am playing football,ham
He plays cricket,ham
She played badminton,ham
They are playing chess,ham
Players love playing,ham
I am reading a book,ham
He reads newspaper,ham
She was reading articles,ham
They read novels,ham
Readers enjoy reading,ham
I am writing code,ham
He writes programs,ham
She was writing notes,ham
They write daily,ham
Writers love writing,ham
I am cooking dinner,ham
He cooks food,ham
She cooked rice,ham
They are cooking now,ham
Cooks enjoy cooking,ham
I am traveling tomorrow,ham
He travels often,ham
She traveled abroad,ham
They are traveling today,ham
Travelers love traveling,ham
I am learning python,ham
He learns machine learning,ham
She learned data science,ham
They are learning AI,ham
Learners love learning,ham
Win free money now,spam
You are winning prizes,spam
Winner wins big rewards,spam
Claim your winnings today,spam
You have won a lottery,spam
Get free gift now,spam
Gifts are waiting for you,spam
You will get gifts,spam
Claim your gift today,spam
Free gifts available,spam
Earn money fast,spam
Earning opportunities available,spam
Earned income easily,spam
You can earn daily,spam
Earnings are guaranteed,spam
Click link now,spam
Click here to win,spam
Click this offer,spam
Click for rewards,spam
Click and claim,spam
Buy cheap products,spam
Buying deals available,spam
Bought items at discount,spam
Buy now save money,spam
Buy today get free,spam
Limited offer today,spam
Offers ending soon,spam
Special offer for you,spam
Exclusive offers available,spam
Best offer ever,spam
Congratulations you won prize,spam
Congratulations claim reward,spam
Congrats you are winner,spam
Congrats on winning,spam
Congratulation lottery result,spam
