id,text,label
1,government announces new education policy,real
2,scientists discover water on mars,real
3,economy shows steady growth,real
4,health ministry releases covid guidelines,real
5,stock market reaches new high,real
6,weather department issues cyclone warning,real
7,election results officially declared,real
8,police arrest fraud gang,real
9,international summit held today,real
10,new vaccine approved by who,real
11,bank reduces interest rates,real
12,space agency launches satellite,real
13,education board releases exam schedule,real
14,city metro service expanded,real
15,new law passed in parliament,real
16,researchers publish climate report,real
17,government increases fuel subsidy,real
18,court announces final verdict,real
19,technology company launches phone,real
20,medical experts warn about diabetes,real
21,alien spaceship found in desert,fake
22,drinking water cures all diseases,fake
23,government hides secret time machine,fake
24,man becomes millionaire overnight,fake
25,magic fruit grows money,fake
26,earth will end tomorrow,fake
27,scientists confirm humans immortal,fake
28,ghost spotted in hospital,fake
29,celebrity replaced by robot,fake
30,miracle pill burns fat instantly,fake
31,secret tunnel under ocean,fake
32,school teaches telepathy,fake
33,ancient prophecy predicts disaster,fake
34,invisible aliens among humans,fake
35,man lives without food,fake
36,flying cars sold for free,fake
37,time travel machine tested,fake
38,government controls weather,fake
39,brain chip reads thoughts,fake
40,people can breathe underwater,fake
41,experts confirm economic recovery,real
42,new startup creates jobs,real
43,hospital opens cancer center,real
44,railway announces new trains,real
45,minister addresses public concerns,real
46,university launches new course,real
47,robot takes over government,fake
48,coffee increases lifespan,fake
49,moon made of cheese,fake
50,human can live forever,fake
51,new traffic rules announced,real
52,central bank releases report,real
53,scientists warn about pollution,real
54,secret society rules world,fake
55,earth is flat,fake
56,plants grow gold,fake
57,internet will shut down,fake
58,new education reforms launched,real
59,space tourism begins next year,real
60,health experts recommend exercise,real
61,doctor discovers immortality,fake
62,government bans social media,real
